Saint Mary's College of California,St. Mary's,StMarys,Gaels,West Coast
Saint Peter's University,St. Peter's,StPeters,Peacocks,MAAC
Sam Houston State University,Sam Houston State,SamHoustonSt,Bearkats,Southland
Samford University,Samford,Samford,Bulldogs,Southern
University of San Diego,San Diego,SanDiego,Toreros,West Coast
San Diego State University,San Diego State,SanDiegoSt,Aztecs,Mountain West
University of San Francisco,San Francisco,SanFrancisco,Dons,West Coast
San Jose State University,San Jose State,SanJoseSt,Spartans,Mountain West
Santa Clara University,Santa Clara,SantaClara,Broncos,West Coast
Savannah State University,,SavannahSt,Tigers,MEAC
Seattle University,Seattle,Seattle,Redhawks,WAC
Seton Hall University,Seton Hall,SetonHall,Pirates,Big East
Siena College,Siena,Siena,Saints,MAAC
Southern Illinois University Edwardsville,SIU Edwardsville,SIUEdwardsville,Cougars,Ohio Valley
Southern Methodist University,SMU,SouthernMethodist,Mustangs,The American
University of South Alabama,South Alabama,SouthAlabama,Jaguars,Sun Belt
University of South Carolina,South Carolina,SouthCarolina,Gamecocks,SEC
South Carolina State University,SC State,SouthCarolinaSt,Bulldogs,MEAC
University of South Carolina Upstate,SC Upstate,SouthCarolinaUpstate,Spartans,Atlantic Sun
South Dakota State University,South Dakota State,SouthDakotaSt,Jackrabbits,The Summit
University of South Florida,USF,SouthFlorida,Bulls,The American
Southeast Missouri State University,SE Missouri State,SEMissouriSt,Redhawks,Ohio Valley
Southeastern Louisiana University,Southeastern Louisiana,SELouisiana,Lions,Southland
Southern Illinois University Carbondale,Southern Illinois,SouthernIllinois,Salukis,Missouri Valley
University of Southern Mississippi,Southern Miss,SouthernMiss,Golden Eagles,Conference USA
Southern University,Southern,Southern,Jaguars,SWAC
Southern Utah University,Southern Utah,SouthernUtah,Thunderbirds,Big Sky
St. Bonaventure University,St. Bonaventure,StBonaventure,Bonnies,A-10
St. Francis College,St. Francis NY,StFrancisNY,Terriers,Northeast
St. Francis University,St. Francis PA,StFrancisPA,Red Flash,Northeast
Stanford University,Stanford,Stanford,Cardinal,Pac-12
Stephen F. Austin State University,Stephen F. Austin,StephenFAustin,Lumberjacks,Southland
Stetson University,Stetson,Stetson,Hatters,Atlantic Sun
Stony Brook University,Stony Brook,StonyBrook,Seawolves,America East
Syracuse University,Syracuse,Syracuse,Orange,ACC
Texas Christian University,TCU,TCU,Horned Frogs,Big 12
Temple University,Temple,Temple,Owls,The American
University of Tennessee,Tennessee,Tennessee,Volunteers,SEC
University of Tennessee at Martin,Tennessee-Martin,TennesseeMartin,Skyhawks,Ohio Valley
Tennessee State University,Tennessee State,TennesseeSt,Tigers,Ohio Valley
Tennessee Technological University,Tennessee Tech,TensesseeTech,Golden Eagles,Ohio Valley
University of Texas at Austin,Texas,Texas,Longhorns,Big 12
Texas A&M University-Corpus Christi,,TAMUCorpusChristi,Islanders,Southland
Texas A&M University,Texas A & M,TexasAM,Aggies,SEC
University of Texas–Pan American,UTPA,TexasPanAmerican,Broncs,WAC
Texas Southern University,Texas Southern,TexasSouthern,Tigers,SWAC
Texas State University,Texas State,TexasSt,Bobcats,Sun Belt
Texas Tech University,,TexasTech,Red Raiders,Big 12
University of Toledo,Toledo,Toledo,Rockets,MAC
Towson University,Towson,Towson,Tigers,CAA
Troy University,Troy,Troy,Trojans,Sun Belt
Tulane University,Tulane,Tulane,Green Wave,The American
